"","name","type","county","pop2020","pop2010","pop_change","mi2","km2","density","date"
"1","Adelanto","City","San Bernardino",38046,"31,765","+19.8%","52.87","136.9","719.6/sq mi (277.8/km2)",1970-12-22
"2","Agoura Hills","City","Los Angeles",20299,"20,330","−0.2%","7.80","20.2","2,602.4/sq mi (1,004.8/km2)",1982-12-08
"3","Alameda","City","Alameda",78280,"73,812","+6.1%","10.45","27.1","7,490.9/sq mi (2,892.3/km2)",1854-04-19
"4","Albany","City","Alameda",20271,"18,539","+9.3%","1.79","4.6","11,324.6/sq mi (4,372.4/km2)",1908-09-22
"5","Alhambra","City","Los Angeles",82868,"83,089","−0.3%","7.63","19.8","10,860.8/sq mi (4,193.4/km2)",1903-07-11
"6","Aliso Viejo","City","Orange",52176,"47,823","+9.1%","6.93","17.9","7,529.0/sq mi (2,907.0/km2)",2001-07-01
"7","Alturas†","City","Modoc",2715,"2,827","−4.0%","2.84","7.4","956.0/sq mi (369.1/km2)",1901-09-16
"8","Amador City","City","Amador",200,"185","+8.1%","0.31","0.80","645.2/sq mi (249.1/km2)",1915-06-02
"9","American Canyon","City","Napa",21837,"19,454","+12.2%","6.09","15.8","3,585.7/sq mi (1,384.5/km2)",1992-01-01
"10","Anaheim","City","Orange",346824,"336,265","+3.1%","50.27","130.2","6,899.2/sq mi (2,663.8/km2)",1876-03-18
"11","Anderson","City","Shasta",11323,"9,932","+14.0%","7.03","18.2","1,610.7/sq mi (621.9/km2)",1956-01-16
"12","Angels Camp","City","Calaveras",3667,"3,836","−4.4%","3.63","9.4","1,010.2/sq mi (390.0/km2)",1912-01-16
"13","Antioch","City","Contra Costa",115291,"102,372","+12.6%","29.17","75.5","3,952.4/sq mi (1,526.0/km2)",1872-02-06
"14","Apple Valley","Town","San Bernardino",75791,"69,135","+9.6%","77.01","199.5","984.2/sq mi (380.0/km2)",1988-11-28
"15","Arcadia","City","Los Angeles",56681,"56,364","+0.6%","10.93","28.3","5,185.8/sq mi (2,002.3/km2)",1903-08-05
"16","Arcata","City","Humboldt",18857,"17,231","+9.4%","9.42","24.4","2,001.8/sq mi (772.9/km2)",1858-02-02
"17","Arroyo Grande","City","San Luis Obispo",18441,"17,252","+6.9%","5.94","15.4","3,104.5/sq mi (1,198.7/km2)",1911-07-10
"18","Artesia","City","Los Angeles",16395,"16,522","−0.8%","1.62","4.2","10,120.4/sq mi (3,907.5/km2)",1959-05-29
"19","Arvin","City","Kern",19495,"19,304","+1.0%","4.82","12.5","4,044.6/sq mi (1,561.6/km2)",1960-12-21
"20","Atascadero","City","San Luis Obispo",29773,"28,310","+5.2%","26.07","67.5","1,142.0/sq mi (440.9/km2)",1979-07-02
"21","Atherton","Town","San Mateo",7188,"6,914","+4.0%","5.02","13.0","1,431.9/sq mi (552.8/km2)",1923-09-12
"22","Atwater","City","Merced",31970,"28,168","+13.5%","6.57","17.0","4,866.1/sq mi (1,878.8/km2)",1922-08-16
"23","Auburn†","City","Placer",13776,"13,330","+3.3%","7.18","18.6","1,918.7/sq mi (740.8/km2)",1888-05-02
"24","Avalon","City","Los Angeles",3460,"3,728","−7.2%","2.89","7.5","1,197.2/sq mi (462.3/km2)",1913-06-26
"25","Avenal","City","Kings",13696,"15,505","−11.7%","19.48","50.5","703.1/sq mi (271.5/km2)",1979-09-11
"26","Azusa","City","Los Angeles",50000,"46,361","+7.8%","9.66","25.0","5,176.0/sq mi (1,998.5/km2)",1898-12-29
"27","Bakersfield†","City","Kern",403455,"347,483","+16.1%","149.78","387.9","2,693.7/sq mi (1,040.0/km2)",1898-01-11
"28","Baldwin Park","City","Los Angeles",72176,"75,390","−4.3%","6.63","17.2","10,886.3/sq mi (4,203.2/km2)",1956-01-25
"29","Banning","City","Riverside",29505,"29,603","−0.3%","23.24","60.2","1,269.6/sq mi (490.2/km2)",1913-02-06
"30","Barstow","City","San Bernardino",25415,"22,639","+12.3%","41.30","107.0","615.4/sq mi (237.6/km2)",1947-09-30
"31","Beaumont","City","Riverside",53036,"36,877","+43.8%","30.32","78.5","1,749.2/sq mi (675.4/km2)",1912-11-18
"32","Bell","City","Los Angeles",33559,"35,477","−5.4%","2.51","6.5","13,370.1/sq mi (5,162.2/km2)",1927-11-07
"33","Bell Gardens","City","Los Angeles",39501,"42,072","−6.1%","2.46","6.4","16,057.3/sq mi (6,199.8/km2)",1961-08-01
